buffer_size,policy,summarisation_level,n,successes,accuracy,avg_usage_total,avg_steps,ci_low,ci_high
64,importance,none,200,141,0.705,2065.745,5.0,0.6384115802925058,0.7638615572809827
64,random,none,200,146,0.73,2183.845,5.21,0.664564384587978,0.7867664526895944
64,recency,none,200,141,0.705,2120.62,5.065,0.6384115802925058,0.7638615572809827
64,summarising_recency,light,200,143,0.715,2153.555,5.145,0.648845269187895,0.773050948267227
128,importance,none,200,135,0.675,2185.5,5.24,0.6073185684304498,0.736085329498138
128,random,none,200,139,0.695,2164.5,5.195,0.6280132012185453,0.7546368564733095
128,recency,none,200,136,0.68,2010.845,4.845,0.612479733946457,0.7407357039229475
128,summarising_recency,light,200,141,0.705,2156.44,5.225,0.6384115802925058,0.7638615572809827
256,full_context,none,200,174,0.87,1912.67,3.125,0.8163353692726989,0.9097185863477437
256,importance,none,200,157,0.785,1870.975,4.19,0.7229757022632792,0.836282074363278
256,random,none,200,158,0.79,1920.62,4.28,0.7283526118460081,0.8407167047213658
256,recency,none,200,158,0.79,1892.505,4.195,0.7283526118460081,0.8407167047213658
256,summarising_recency,light,200,159,0.795,1915.05,4.26,0.7337418048192546,0.8451390516889363
